prompt,completion
Who are Brood providers?,Brood providers are those who produces genetically improved modified Broodstock for breeding.
Available Brood providers in the market?,"Kobabay, SIS, B.M.R, SyAqua, Blue Genetics, API, SPD, MBC, CGS, OIHPU, PBU, BG, Uni Bio and others."
Applications of Brood lines?,"Brood line involves careful selection and breeding of individuals that exhibit desired characteristics such as fast growth, disease resistance, good survival rates, and desirable size or coloration."
Types of Brood lines?,"1. Growth, Balanced and Speed are different Brood lines.
2. Growth Brood line deals with the growth rate of shrimp offspring. Main focus is to produce shrimp that grow larger and faster, resulting in higher yields and shorter production cycles.
3. Balanced Brood line focuses on creating a well-rounded gene pool that encompasses various desirable traits, such as growth rate, disease resistance, survival rate, and tolerance to environmental conditions.
4. Speed Brood line focuses on breeding shrimp that reach maturity at a younger age (fast maturation). The objective is to accelerate the reproductive cycle resulting in faster turnaround times and shorter production cycles."
What does Ordered quantity (Male/Female) and Received quantity (Male/Female) refer to?,"1. Orders are placed only in pairs but not as individuals, 1 pair consists of one male and one female.
2. Ordered quantity refers to the quantity (live animals) placed with the supplier.
3. Received quantity refers to the quantity (live animals) received from the supplier.
4. Most of the times received quantity will be less than ordered quantity because of transit mortality."
Types of Order quantity?,"1. In general Broodstock is ordered in two quantity types. Cubicle (300 pairs) and Jumbo (600 pairs).
2. Broodstock is delivered only in pairs but not as individuals. 1 pair consists of one male and one female only."
Turn Around Time (TAT) from placing an order till receiving an order?,"1. It takes approximately 7-9 days from placing till receiving the order.
2. General individual TAT as follows: 1-2 days from Brood Providers to AQF center, 5-6 days at AQF center (quarantine period) and within a day from AQF center to Hatcheries.
3. The TAT may increase based on unforeseen conditions like weather, natural disaster or emergencies, logistics and operational issues, strikes, custom clearance, etc."
Does the Order quantity undergo quarantine?,"1. Yes. Once the Ordered quantity reaches the Indian port, the Brood is quarantined for 5-7 days in the AQF center.
2. This AQF fecility available in INDIA only, Hatcheries in other cuntries takes care of that induvidually."
Different shrimp species or varieties available in the Market?,"Vannamei (Litopenaeus vannamei) - referred as Pacific White Shrimp, Tiger (Penaeus monodon) - referred as Black Tiger Shrimp and Scampi - referred as Large Size Shrimp."
Which shrimp species is cultivated more in India?,"1. 90% of total shrimp production in India is from Vannamei due to its fast growth rate, disease resistance, and adaptability to different farming conditions. It has a mild, slightly sweet flavor and firm texture.
2. Next prominent species in shrimp farming is Tiger. Though it experienced a recent decline in the market, it still retains its presence in certain regions and for specific market preferences. It has a rich, slightly sweet flavor and firm texture. Tiger shrimps are larger in size compared to Vannamei shrimps and have distinct black stripes on their shells.
3. Scampi shrimp production in India accounted for a relatively smaller percentage compared to other shrimp species like Vannamei and Tiger shrimp."
What is ablation in shrimp farming?,Ablation is removal of eyestalk which helps in inducing reproductive maturation and increase breeding efficiency.
Does Broodstock is measured in weight or count?,Broodstock is measured in terms of weight (grams). The average weight of single male/female shrimp in Broodstock is around 30 - 100 grams in the period of 6-8 months.
What is the spawn cycle in shrimp hatchery?,"1. Spawn cycle refers to the recurring process of reproductive activity in shrimp populations. 
2. It includes the maturation of male and female shrimp, the release of eggs by females, and the fertilization of those eggs by male shrimp."
"what is the spawn cycles, and is there any limit for spawns?","1. Once the all available females are matured and brought for mating, then 1 spawn cycle is completed for that females.
2. A typical hatchery run 8-10 spawns for a batch, If it goes beyond the cap then the strength of the egg/seed/juvenile decreases and also maintenance cost also increases."
On an average how many eggs are fertilized in one spawn cycle by one female?,1-3 Lakhs in 0ne spawn cycle by one female in the entire lifecycle.
What is spawning and how is it done?,"1. Spawning is a crucial step in shrimp life cycle as it leads to production of offspring.
2. Spawning in shrimp farming refers to the process of reproduction in which female shrimp release eggs, and males release sperm (milt) for fertilization. The eggs are externally fertilized, meaning that the sperm fertilizes the eggs in the surrounding water.
3. Once fertilized, the eggs develop into larvae, which go through various stages of development before becoming juvenile shrimp."
Management of spawned eggs?,"The spawned eggs may be collected and transferred to separate hatching tanks after egg wash, where they are carefully monitored and provided with suitable conditions for optimal development."
What are the process cycles present in Hatcheries?,"1. Hatcheries majorly consists of 2 sections. Maturation and Rearing.
2. Maturation section consists of brood maturation, spawning and naupliis.
3. Rearing section starts from nauplius to post larvae (PL) production."
Different stages and its time periods present in the rearing section?,"1. The Rearing section has 4 stages and each stage has different time periods. 
2. Stage-1: Nauplius I-VI. These 6 moltings take 2 days (50 hours).
3. Stage-2: Protozoeal 1-3. This stage takes 4-6 days.
4. Stage-3: Mysis 1-3. This stage takes 10-12 days.
5. Stage-4: Post Larvae 1-13. In this stage, approximately each PL change takes 1 day. For example, PL 3 means 3 days"
Types of feed used in different sections of hatcheries?,"1. Different feeds are used at different stages in hatcheries. They are Artemia, Microparticulate feeds, Microencapsulated feeds, Semi-moist or Moist Pellet feed, Dry pellet feeds.
2. Artemia, commonly known as brine shrimp, is an important live feed used in shrimp hatcheries, especially during the larval stages. First larval stage is also known as Nauplius. Artemia are small and highly nutritious, providing essential nutrients and promoting healthy growth in shrimp larvae.
3. Microparticulate feeds are finely ground or powdered feeds designed for very small shrimp larvae or post-larvae. These feeds contain high levels of proteins, lipids, vitamins, and minerals to meet the nutritional requirements of early-stage shrimp.
4. Microencapsulated feeds are specialized feeds where the nutrients are encapsulated in small particles. These feeds are often used during the early larval stages when shrimp have limited feeding capabilities. Microencapsulation helps protect the nutrients and improves their digestibility.
5. Semi-moist or Moist Pellet Feed is used when shrimp larvae are growing and in transition to post-larvae stages. These pellets are usually soft, semi-moist, or moist in texture, making them easier for the shrimp to consume and digest. These feeds contain balanced nutrition to support growth and development.
6. Dry pellet feeds become the primary feed source once shrimp reach the juvenile or grow-out stages. Dry pellet feeds are available in various sizes and formulations to meet the specific nutritional needs of different shrimp species and growth stages."
Treatments used in different sections of hatcheries?,"1. Minerals, Multi Vitamins, PreBiotics and ProBiotics.
2. Minerals - Calcium, Magnesium, Potassium, Sodium, Phosphorus.
3. Multi Vitamins - Vitamin A, B Complex, C, D, E.
4. Prebiotics - Fructooligosaccharides (FOS), Inulin, and Mannan oligosaccharides (MOS).
5. Probiotics - Include various strains of Bacillus, Lactobacillus, and Saccharomyces."
Lab tests performed in different sections of hatcheries?,"1. Some common lab tests are Water Quality Analysis, Microbiological Analysis, Plankton Analysis, Larval Health Screening, Nutritional Analysis, Genetic Analysis, Waterborne Larval Pathogen Screening and others .
2. It's important to note that the specific laboratory tests conducted in shrimp hatcheries may vary depending on the hatchery's protocols, the specific species being cultured, regional regulations, and the presence of specific diseases or challenges."
Water quality treatments performed in different sections of hatcheries?,"Temperature, PH, Salinity, Dissolved Oxygen (DO), Ammonia, Nitrate, Nitrite, Total Suspended Solids (TSS), CO2, Alkalinity, Hardness, Phosphate, Heavy metals, etc."
Tests present in Microbiology Analysis?,"1. It helps in assessing the microbial load in water, tanks, equipment, and shrimp larvae or post-larvae. 
2. Tests are Bacterial Analysis, Fungal Analysis, Viral Analysis (PCR), Parasitological Analysis."
Tests present in Pathogen Screening?,"1. DNA based pathogen detection.
2. Viral Pathogen Screening - helps in identifying Infectious Hypodermal and Hematopoietic Necrosis Virus (IHHNV), White Spot Syndrome Virus (WSSV), Taura Syndrome Virus (TSV), and others.
3. Bacterial Pathogen Screening - helps in identifying Vibrio app and others.
4. Fungal and Parasitic Pathogen Screening - helps in identifying characteristic structures such as spores or cysts.
5. Antibiotic Sensitivity Testing."
What is a shrimp hatchery?,"1. hatchery is a specialized facility where the early stages of shrimp life, including spawning, hatching, and larval rearing, take place.
2. It is designed to provide optimal conditions for the reproduction and development of shrimp larvae."
What is the purpose of shrimp hatchery?,The primary purpose of a hatchery is to produce high-quality shrimp post-larvae (PL) or seedlings that can be used for stocking in grow-out ponds or shrimp farms
What activities are typically present in shrimp hatchery?,"Broodstock Management, Spawning, Egg Incubation, Larval Rearing, Feed and Nutrition, Water Quality Management, Disease Management, Post-Larval Harvesting and Distribution"
What is the price of post Larvae (PL) in india?,"1. The price of post-larvae (PL) in India can vary depending on various factors such as the shrimp species, size of the PL, quality, demand-supply dynamics, location, and market conditions. And also fluctuate for factors like seasonal variations, disease outbreaks, and market trends.
2. To get most accurate price, it is recommended to reach out to local shrimp hatcheries, aquaculture associations, or shrimp farming suppliers."
What is the average cost incurred to develop a PL from brood management/ spawning stage?,"1. Cost depends on several factors, including the specific hatchery setup, management practices, the species of shrimp, feed and nutrition costs, labor, infrastructure, and other operational expenses.
2. On an average the cost incurred for one PL is around Rs 0.26 - 0.29"
Optimum FCR for a shrimp hatchery?,"1. Hatcheries primarily focus on providing appropriate nutrition and optimal growth conditions for shrimp larvae rather than calculating FCR.
2. The goal in a hatchery is to ensure healthy development and survival of the larvae until they reach the desired post-larval (PL) stage for stocking in grow-out ponds or farms."
Optimum survival rate in a shrimp hatchery?,"1. The optimum survival rate in a hatchery can vary depending on the species of shrimp being reared and the management practices implemented.
2. The ideal survival rate can vary, but hatcheries generally aim for survival rates above 80% or even higher."
Man power or personal required to run a shrimp hatchery?,"1. It's important to note that the specific roles and number of personnel required will depend on the complexity, scale, and goals of the hatchery.
2. However, in general, Hatchery Manager, Hatchery Technicians, Broodstock Management Team, Larviculture Team, Water Quality Technician, Quality Control/Assurance, Administrative and Support Staff."
What is the reason for running mortality ?,Reasons of running mortality - White muscle disease - Bacterial white tail disease - NHP(Necrotizing Hepatopancreatitis ) - Harmful and toxic Algae - H2S.(soil- foul odor of rotten eggs)
What is the solution for black Gill damage?,"Brownish to blackish discoloration on the gills it's called brown/black gill diseases. High content of dissolved organic matter and turbidity, Unhealthy shrimp ( secondary infection) Fouling organisms, fungus, ciliated protozoan, bacteria."
What are the important factors to be considered while selecting shrimp seeds?,Successful shrimp farming starts from stocking good quality seeds. Good quality seeds reduces the risks in your culture cycle.
What is White Feces Syndrome Disease?,White feces syndrome (WFS) of shrimp refers to the condition where digestive tract malfunctions and feces turns into white. WFS is generally characterized by floating feces white strings on the water surface and they can also be found in the check tray.
How to Overcome Improper Moulting?,Shrimp generally molt every three to eight weeks and it takes a correct amount of Iodine to promote proper shrimp molting.
Why my shrimp (Vannamei) shows poor growth or stunned growth?,The growth of your shrimp mainly depends on the above factors. Farmers should check these parameters regularly. High FCR leads to increased feeding and high production cost.
What is the problem of hardshell ?,"Due to excess level of hardness, exoskeleton of animal changed from normal to hard like rubber that is called hardshell of P.vannamei. Reasons for Hardshell - Excess hardness, Excess alkalinty, Excess iron contents."
What is term Ablation called ?,"Extripation, removal or otherwise damaging the eye in some manner to promote maturation."
What is Artemia ?,Its a Brine shrimp.
What is Broodstock?,Larger animals that are sourced and expected to produce offspring in the maturation fecility.
What is Cysts?,Eggs of Artemia that are in a dormant stage.
What is exoskeleton?,Shell of the shrimp.
What is Hepatopancreas?,Its a digestive gland.
What is a Larvae?,Plural of larva and the stage in the devlopment of a shrimp's life cycle between the egg and the juvenile.
What is maturation?,"The act of maturing (in the case of white shrimp, egg devlopment, mating and then spawning; with brown shrimp, mating, egg devlopment, and spawning)."
What is term molt?,"For shrimp, shedding of the exoskeleton."
What is Nauplii?,Plural of naplius and first of the three major larval stages. Its a non-feeding stage and is the best stage to transport the animals untill they reach the PL stage.
What is term Petasma?,Its Male shrimp reproductive structure.
What is term Protozoea?,New world term of zoea or the second major larval stage of penaeid shrimp.
What is called Raceway?,"A small pond or a tank that is usually rectangular with a center divider or circular tank with a water flow that ""races"" around the tank."
What is term called Rostrum?,The pointed prow that extends from the head of most shrimp.
What is term Setae?,Hair like structure that appear to branch of the appendages or legs.
What is Sourcing?,Obtaining animals to be used for broodstock.
What is Spore?,A small cell that can develop into a new individual.
Whai is Thelycum?,Female shrimp reproductive structure.
What are the different types of tanks used in Hatchery culture?,"Maturation, Spawning, Larval, & Postlarval, Algal, Artemia, & Sea water reservoir."
What are the tank shapes used in the hatchery culture?,"Round, Square, Rectangular, Half-barrel, Oval raceway, Cylindro-conical."
What are the materials used to make tanks in the hatchery culture?,"Ferrocement, Concrete, plastic, Fiberglass, Asbestos."
What is the Criteria in the selection of a suitable site for a hatchery?,"1. Sea water supply
2. Availability of spawners
3. Availability of power source
4. Freshwater supply
5. Accessibility
6. Climatic conditions"
What is success of a shrimp hatchery depends on?,"1. The choice of a suitable site
2. Effectiveness and efficiency of the hatchery design
3. Experience of hatchery technicians
4. Efficiency of operational management"
How long does it take to grow shrimp?,"Generally from the shrimp hatch to harvest takes about 7-8 months. Again, it depends on what size of shrimp is required for the market. Dwarf shrimp usually takes much lesser from hatch to harvest."
How many shrimp can you have per gallon?,"It is recommended to put 10 small shrimps per gallon of water. However, if someone is new to shrimp farming then it is recommended to farm only 5 shrimp per 1 gallon of water. Many experienced farmer's house more then 100 shrimp per 100 gallon of water."
How long do shrimp eggs take to hatch?,"Generally, each shrimp has 20-30 eggs, which take 2 to 3 weeks to hatch. Normally the egg is green or yellow in colour and its get darker untill the young shrimp hatch after 3 weeks."
Can shrimp be raised in freshwater?,"Farming shrimps in a freshwater tank is not economical because shrimps are extremely territorial and cannibalistic , which causes poor survival in tanks. Freshwater culture is not recommended for a shrimp farming."
How big can shrimps grow?,Generally pond raised shrimp juveniles grow from 3cm in length to a size 75 to 100g in about 5-6 months.
what are the different types of Shrimp culture?,"Shrimp are farmed on the basis of three different cultures, they are:
1. Traditional or extensive culture.
2. Semi-intensive culture.
3. Intensive culture."
What are the two methods of shrimp pond cleaning?,Basically cleaning of the pond indicates removal of wastes such as organic and phosphatic wastes that accumulate at the bottom of the tank or pond. There are two ways of cleaning the shrimp growing ponds; they are dry & wet method.
What is dry method of cleaning the ponds?,The name indicates that the bottom of the pond can be dried completely. The water is completely driend and allowed to dry in the sun for about 30 days. After this period the waste is removed either manually or through mechanical ways. This method can make the pond acidic in nature.
What is wet method of cleaning the ponds?,"The water in the pond is cleaned of waste material by pressure washing, which flushes the waste out of the area. The dark anaerobic layer and acid is removed from the soil in the pond. Oxidation of soil should be avoided in this method."
What are the good water treatment protocols for the hatchery?,"ۢ Sedimentation
ۢ Water chlorination and dechlorination
ۢ Filtration with sand filters
ۢ Filtration with activated carbon filter
ۢ Cartridge filtration up to 1 micron size
ۢ UV filtration/ Ozonation"
What are the Antibiotics and other Pharmacologically Active Substances banned for using in shrimp aquaculture?,"1. Chloramphenicol
2. Nitrofurans including: Furaltadone, Furazolidone, Furylfuramide, Nifuratel, Nifuroxime, Nifurprazine, Nitrofurantoin, Nitrofurazone
3. Neomycin
4. Nalidixic acid
5. Sulphamethoxazole
6. Aristolochia spp and preparations thereof
7. Chloroform
8. Chlorpromazine
9. Colchicine
10. Dapsone
11. Dimetridazole
12. Metronidazole
13. Ronidazole
14. Ipronidazole
15. Other nitroimidazoles
16. Clenbuterol
17. Diethylstilbestrol (DES)
18. Sulfonamide drugs (except approved Sulfadimethoxine, Sulfabromomethazine and Sulfaethoxypyridazine)
19. Fluroquinolones
20. Glycopeptides"
What are the impacts on environment due to the aquaculture?,"1. Impact on the water courses in the vicinity;
2. Impact on ground water quality;
3. Impact on drinking water sources;
4. Impact on agricultural activity;
5. Impact on soil and soil salinisation;
6. Waste water treatment;
7. Green belt development"
What are the stages in shrimp pond management?,"1. Pond Preparation
2. Pond Cleaning
3. Dry method
4. Wet method
5. Liming
6. Eradication of Predators
7. Fertilization
8. Areation"
What are the stages involved in shrimp pond stocking?,"1. Seed selection
2. Stocking density
3. Technique of stocking"
What are the stages involved in Seed selection criteria?,"1. Size
2. Morphology
3. Colour
4. Behavior
5. External Fouling
6. Pathogen free"
What are the stages involved in Seed stocking technique?,"1. Transportation
2. Acclimation
3. Nursing of Shrimp Post Larvae "
What are the various kinds of diseases occured in Shrimp culture?,"1. Virus Infection
2. Bacterial Infection 
3. Fungal Infestation
4. Protozoan and Parasitic Infestation
5. Non-Infectious Diseases"
My pond suffered a disease outbreak 30 days after stocking the last crop. Please advise me how to prepare the pond for the next crop?,"Prepare the pond normally by removing the black soil (sludge), which has a bad smell. Dispose this removed sludge away from the pond site. Maintain the water reservoir and culture the plankton in reservoir first and then transfer the water to grow-out ponds. Avoid clear water at stocking by adding more fertilizer to get a green color. Maintain pH and alkalinity by applying the required quantity of lime. This entire process may require 30 days before stocking. So plan the pond preparation accordingly."
What should be the optimum soil pH for shrimp culture?,"It should be above 6. However, farmers should check the water pH and try to maintain it in the range of 7.5-8.5 by using lime, because it is difficult to completely rectify the soil pH problems."
"Is the use of pesticide good or bad? If bad, do you suggest any alternative to disinfect the pond?",The use of pesticides is bad because they can accumulate in the environment as well as in the shrimps. Screening the water using water filters to prevent the carriers and storing the water for at least 7 days before pumping to grow-out ponds is a better option.
What is the required water depth in culture ponds?,The optimum depth should be 1.2 meter. There should be a minimum depth of 0.8m in the shallowest part of the pond.
Measuring pH using liquid pH indicators is not showing any minor fluctuations in pH. So how can this type of pH measurement be useful for the farmers?,"The purpose of using liquid pH indicators is to look only at the pattern or trend on how pH changes. Greater fluctuations of pH can be easily noted by farmers during critical periods using simple kits. Farmers can afford to have a simple liquid pH indicator, as its price is below Rs 100 and 200 tests can be carried out."
How to reduce pH in saline waters when there is no color/bloom in the water?,"Exchanging the water by 10-20 % may introduce phytoplankton before applying fertilizer and some agricultural lime. This approach will lead to the bloom. Also one can try using 10 to 15 Kgs of rice bran or wheat bran in one ton of water (pond), stirred frequently at an interval of 2 to 3 hrs and fermented for seven days to develop acidic bacteria. The supernatant acidic water should be applied to the pond water every 7 days till the pH gets reduced to normal level."
Why does pH change suddenly on daily basis?,Excessive algal blooms or low alkalinity.
